Week,Strain,Sex,Irradiation Dose,Input,Mouse,Beads 1,Beads 2,LOD,CD45,GPA,CD33,CD19,CD3,CD45.GFP,LOD,Platelets
3,NRG,M,900 Rad,BM.100K,Q5LL,667,686,1.842202513,2.210643016,19.71156689,1.842202513,0,0.184220251,0,NA,573.0787402
3,NRG,M,0 Rad,BM.100K,Q5R,2556,2367,0.506296973,0.101259395,1.72140971,0.050629697,0,0,0.050629697,NA,14.88059701
3,NRG-W41,M,150 Rad,BM.100K,Q6L,2990,2721,0.436438452,0,1.614822273,0,0,0,0,NA,8.669565217
3,NRG-W41,M,150 Rad,BM.100K,Q6LL,2405,2445,0.513917526,0.359742268,1.027835052,0.154175258,0,0,0.154175258,NA,4.431111111
3,NRG-W41,M,0 Rad,BM.100K,Q6R,2433,2245,0.532813168,0.106562634,5.967507482,0,0.053281317,0,0.053281317,NA,59.89045936
3,NRG-W41,M,0 Rad,BM.100K,Q6RR,2434,2463,0.508985093,0.356289565,2.646722483,0.101797019,0.050898509,0,0.050898509,NA,8.105691057
6,NRG,M,900 Rad,BM.100K,Q5L,1501,1577,0.809779077,7.207033788,5.101608187,1.052712801,4.696718648,0,0.242933723,NA,13.41255605
6,NRG,M,900 Rad,BM.100K,Q5LL,752,783,1.623778502,17.21205212,1920.118078,7.794136808,5.196091205,0.16237785,11.36644951,NA,9.540669856
6,NRG,M,0 Rad,BM.100K,Q5R,2403,2400,0.518946492,7.161461587,17.38470747,1.453050177,4.255361233,0,0.311367895,NA,0
6,NRG-W41,M,150 Rad,BM.100K,Q6L,2711,2092,0.518946492,4.307255882,89.41448053,1.816312721,1.608734125,0,0.467051843,NA,98.56273764
6,NRG-W41,M,150 Rad,BM.100K,Q6LL,2379,2437,0.517545681,12.57636005,4.91668397,3.726328904,6.210548173,0,0.207018272,NA,627.0723982
6,NRG-W41,M,0 Rad,BM.100K,Q6R,2532,2181,0.528856355,1.798111606,289.443083,1.05771271,0.264428177,0,0.793284532,NA,8.105691057
6,NRG-W41,M,0 Rad,BM.100K,Q6RR,2252,2569,0.517008919,0.723812487,10.02997303,0.206803568,0.206803568,0.051700892,0.25850446,NA,4.680751174
10,NRG,M,900 Rad,BM.100K,Q5L,2428,2351,0.521552626,0.834484202,27.69444444,0.104310525,0.573707889,0,0,NA,14.8
10,NRG,M,900 Rad,BM.100K,Q5LL,2666,2291,0.502824289,0.90508372,69.33946944,0.050282429,0.804518862,0,0.050282429,NA,4.7
10,NRG,M,0 Rad,BM.100K,Q5R,2527,2333,0.512860082,0.205144033,47.43955761,0.205144033,0,0,0,NA,16
10,NRG-W41,M,150 Rad,BM.100K,Q6L,2642,2353,0.498998999,3.991991992,6.486986987,0.748498498,3.143693694,0,0,NA,43.9
10,NRG-W41,M,150 Rad,BM.100K,Q6LL,2582,2355,0.504861252,17.26625481,1.56506988,3.483542637,12.01569779,0,0.050486125,NA,303.5
10,NRG-W41,M,0 Rad,BM.100K,Q6R,2454,2373,0.516366273,0.464729646,3.046561011,0.103273255,0.309819764,0,0.103273255,NA,10.2
10,NRG-W41,M,0 Rad,BM.100K,Q6RR,2487,2387,0.511386951,0.460248256,42.59853303,0.153416085,0.306832171,0,0.051138695,NA,31
20,NRG,M,900 Rad,BM.100K,Q5L,1355,1287,0.94341408,0.47170704,2.452876609,0.188682816,0.283024224,0,0.188682816,NA,0
20,NRG,M,900 Rad,BM.100K,Q5LL,2111,2391,0.553642825,0,1.107285651,0,0,0,0,NA,0
20,NRG,M,0 Rad,BM.100K,Q5R,1938,2523,0.558731226,0.279365613,2.34667115,0.055873123,0,0,0.279365613,NA,0
20,NRG-W41,M,150 Rad,BM.100K,Q6L,2205,2303,0.552905945,2.488076752,1.382264862,0.442324756,1.658717835,0,0.055290594,NA,4.378723404
20,NRG-W41,M,0 Rad,BM.100K,Q6R,1910,2565,0.55698324,2.116536313,6.293910615,0.612681564,1.058268156,0,0.334189944,NA,4.751152074
20,NRG-W41,M,0 Rad,BM.100K,Q6RR,1153,939,1.191443595,1.072299235,6.433795411,0.238288719,0.119144359,0.119144359,0.714866157,NA,0
30,NRG,M,900 Rad,BM.100K,Q5L,427,4295,0.527848369,0.158354511,NA,0,0,0,0.052784837,NA,0
30,NRG,M,900 Rad,BM.100K,Q5LL,809,1107,1.300887265,0,NA,0,0,0,0,NA,5
30,NRG,M,0 Rad,BM.100K,Q5R,1993,2441,0.562133514,0.224853406,NA,0,0.112426703,0.056213351,0,NA,0
30,NRG-W41,M,150 Rad,BM.100K,Q6L,1455,2039,0.71336577,0.856038924,NA,0.071336577,0.71336577,0,0.071336577,NA,15.4
30,NRG-W41,M,150 Rad,BM.100K,Q6LL,310,4157,0.557980748,30.01936423,NA,1.562346094,22.37502798,1.17175957,0.11159615,NA,647.6
30,NRG-W41,M,0 Rad,BM.100K,Q6R,1574,2938,0.55241578,0.055241578,NA,0,0,0,0,NA,4.9
30,NRG-W41,M,0 Rad,BM.100K,Q6RR,633,1010,1.517041996,0.606816799,NA,0.1517042,0,0,0.303408399,NA,14
