Week,Strain,Sex,Irradiation Dose,Input,Mouse,CD45 Percent,GPA Percent,CD33 Percent,CD19 Percent,CD3 Percent,CD34 Percent,CD45 GFP Percent,GPA GFP Percent
3,NRG,M,900 Rad,BM.100K,Q5L,6.524173428,0.420407442,6.463273284,0.001964521,0.090367955,1.159067246,0,0.001964521
3,NRG,M,900 Rad,BM.100K,Q5LL,1.68907775,0.089256262,1.649300503,0.011642121,0.006791237,0.175601995,0,0.000970177
3,NRG,M,0 Rad,BM.100K,Q5R,0.011244467,0.065099543,0.008285396,0.001183628,0,0.004734512,0.000591814,0
3,NRG-W41,M,150 Rad,BM.100K,Q6L,1.656288655,1.392121098,1.589198482,0.008386272,0.062897038,0.257877854,0,0.002096568
3,NRG-W41,M,150 Rad,BM.100K,Q6LL,1.061652206,0.114566785,0.963888549,0.070267628,0.013748014,0.190944641,0,0.001527557
3,NRG-W41,M,0 Rad,BM.100K,Q6R,0.305196229,0.052620039,0.157860118,0.124534093,0.002631002,0.033326025,0.000877001,0
3,NRG-W41,M,0 Rad,BM.100K,Q6RR,0.004215803,0.002299529,0.001533019,0.002299529,0,0,0,0.000383255
6,NRG,M,900 Rad,BM.100K,Q5L,12.00217501,0.002032717,0.660632886,10.59604332,0.005589971,0.182944492,0.002540896,0.000508179
6,NRG,M,900 Rad,BM.100K,Q5LL,1.579785198,0.00251879,0.121405686,1.369214339,0,0.022165354,0,0.001007516
6,NRG,M,0 Rad,BM.100K,Q5R,0.136333704,0.003086801,0.075626621,0.051446681,0,0.046816479,0,0.000514467
6,NRG-W41,M,150 Rad,BM.100K,Q6L,9.727958113,0.019279358,1.570760317,7.294700206,0.047691043,0.362248988,0.003044109,0
6,NRG-W41,M,150 Rad,BM.100K,Q6LL,38.0501556,0.732530413,14.36365841,19.28626278,0.176817686,4.024370529,0.026270056,0
6,NRG-W41,M,0 Rad,BM.100K,Q6R,7.171379208,0.031840318,0.932242759,5.622165037,0.006785642,0.20200333,0.002609862,0
6,NRG-W41,M,0 Rad,BM.100K,Q6RR,1.302828577,0.043359604,0.138750733,1.001861912,0.002040452,0.035197796,0,0
10,NRG,M,900 Rad,BM.100K,Q5L,6.019462465,0.00463392,0.552363299,4.746061168,0.009267841,0.22150139,0.001853568,0.000926784
10,NRG,M,900 Rad,BM.100K,Q5LL,1.955055825,0.011054435,0.248724792,1.521564045,0.003948013,0.113702762,0.002368808,0.001579205
10,NRG,M,0 Rad,BM.100K,Q5R,0.020935783,0.003256677,0.008839553,0.006048115,0.002791438,0.004652396,0.00046524,0
10,NRG-W41,M,150 Rad,BM.100K,Q6L,38.22722236,0.075002131,8.847694537,26.21750618,0.057956192,2.164834228,0.029830393,0
10,NRG-W41,M,150 Rad,BM.100K,Q6LL,85.43971205,2.435083498,32.77518979,45.44776602,0.041264175,11.23379884,0.170525447,0.003480111
10,NRG-W41,M,0 Rad,BM.100K,Q6R,3.530245189,0.094454721,1.428627652,1.688378134,0.009839033,0.588374198,0.003935613,0.003935613
10,NRG-W41,M,0 Rad,BM.100K,Q6RR,0.400217033,0.002986694,0.180197221,0.171237139,0.002488912,0.090596393,0.000497782,0
20,NRG,M,900 Rad,BM.100K,Q5L,0.040029971,0.004618843,0.03130549,0,0,0.008211276,0.000513205,0.002566024
20,NRG,M,900 Rad,BM.100K,Q5LL,0.041598143,0.018380575,0.017413176,0,0.000967399,0.001934797,0,0.004836993
20,NRG,M,0 Rad,BM.100K,Q5R,0.226076217,0.003139947,0.166417215,0.01831636,0.001569974,0.086348555,0.010466492,0.002616623
20,NRG-W41,M,150 Rad,BM.100K,Q6L,0.319545535,0.055476655,0.244097284,0.042162258,0.002219066,0.066571987,0.013314397,0.035505059
20,NRG-W41,M,150 Rad,BM.100K,Q6LL,63.76996224,2.23900592,25.51172584,32.17465156,0.025276653,5.602317364,0.118294736,0.033365182
20,NRG-W41,M,0 Rad,BM.100K,Q6R,0.019047101,0.070746374,0.008163043,0,0,0,0,0.02448913
20,NRG-W41,M,0 Rad,BM.100K,Q6RR,10.60995025,0.008495643,0.913466333,8.142519956,0.001477503,0.361249524,0.008495643,0.001477503
30,NRG,M,900 Rad,BM.100K,Q5L,0.097850571,0.052537219,0.087999842,0.005910437,0.01379102,0.002626861,0,0.011164159
30,NRG,M,900 Rad,BM.100K,Q5LL,0.091819699,0.081954773,0.086507816,0,0.024282896,0.002276521,0.002276521,0.012900288
30,NRG,M,0 Rad,BM.100K,Q5R,0.005612342,0.133994654,0.000701543,0.001403085,0,0,0.001403085,0.011224683
30,NRG-W41,M,150 Rad,BM.100K,Q6L,5.575079872,0.28115016,3.624068158,1.61341853,1.309904153,0.48455804,0.425985091,0.241746539
30,NRG-W41,M,150 Rad,BM.100K,Q6LL,54.5091223,6.338902487,11.90805576,39.71953224,0.40911402,2.725456115,0.108781763,0.05084365
30,NRG-W41,M,0 Rad,BM.100K,Q6R,0.203343486,0.089125017,0.195555863,0.001730583,0.052782777,0.015575246,0.039803406,0.041533989
30,NRG-W41,M,0 Rad,BM.100K,Q6RR,1.367074423,0.192361565,0.45008871,0.832944252,0.048557288,0.119525633,0.035484172,0.03735176
